sim_ind	M1	M2	M3	a_o	r_p_o	e_o	inc_o	Omega_o	omega_o	e_i	inc_i	Omega_i	omega_i	f_i	final_time	outer_orbits	outer_orbits_RW	outer_orbits_RW_without_KL	disrupted
1	1	1	1	30	3	0.9	0	0	0	0.5	0	4.9057	0.7864	3.1633	112732.8	8	0.5	0.5	1
2	1	1	1	30	3	0.9	0	0	0	0.5	0	0.5698	5.5292	3.7152	33315.2	1	0.5	0.5	1
3	1	1	1	30	3	0.9	0	0	0	0.5	0	5.0206	0.9091	3.6104	35526.9	1	0.5	0.5	1
4	1	1	1	30	3	0.9	0	0	0	0.5	0	5.5179	5.4052	3.5451	67787.3	3	0.5	0.5	1
5	1	1	1	30	3	0.9	0	0	0	0.5	0	3.3331	3.8873	3.4476	78320.6	2	0.5	0.5	1
6	1	1	1	30	3	0.9	0	0	0	0.5	0	2.0913	2.253	0.7458	293378.9	4	0.5	0.5	1
7	1	1	1	30	3	0.9	0	0	0	0.5	0	4.1129	0.9014	3.222	822108.1	6	0.5	0.5	1
8	1	1	1	30	3	0.9	0	0	0	0.5	0	4.2992	2.7061	5.614	1553186.2	6	0.5	0.5	1
9	1	1	1	30	3	0.9	0	0	0	0.5	0	0.5866	0.1195	2.5468	275771.9	3	0.5	0.5	1
10	1	1	1	30	3	0.9	0	0	0	0.5	0	2.613	1.7304	3.0546	384591	3	0.5	0.5	1
11	1	1	1	30	3	0.9	0	0	0	0.5	0	0.5569	5.1624	3.6029	586210.7	8	0.5	0.5	1
12	1	1	1	30	3	0.9	0	0	0	0.5	0	6.1215	2.624	4.4972	33752.4	1	0.5	0.5	1
13	1	1	1	30	3	0.9	0	0	0	0.5	0	0.6615	5.1159	3.6282	3869289.1	2	0.5	0.5	1
14	1	1	1	30	3	0.9	0	0	0	0.5	0	1.5531	3.031	3.2395	446374.4	22	0.5	0.5	1
15	1	1	1	30	3	0.9	0	0	0	0.5	0	1.2571	0.8013	5.7299	35116.8	1	0.5	0.5	1
16	1	1	1	30	3	0.9	0	0	0	0.5	0	5.1349	2.5534	1.996	36607.6	1	0.5	0.5	1
17	1	1	1	30	3	0.9	0	0	0	0.5	0	4.4238	6.1948	0.2141	396044.1	25	0.5	0.5	1
18	1	1	1	30	3	0.9	0	0	0	0.5	0	5.5805	4.662	5.3983	115997.5	5	0.5	0.5	1
19	1	1	1	30	3	0.9	0	0	0	0.5	0	3.4985	0.0993	2.6352	53554.4	2	0.5	0.5	1
20	1	1	1	30	3	0.9	0	0	0	0.5	0	4.8042	1.253	5.8453	87564.4	2	0.5	0.5	1
21	1	1	1	30	3	0.9	0	0	0	0.5	0	5.7977	2.2225	3.3183	107457.4	6	0.5	0.5	1
22	1	1	1	30	3	0.9	0	0	0	0.5	0	4.6188	4.3666	2.8042	693132.8	79	0.5	0.5	1
23	1	1	1	30	3	0.9	0	0	0	0.5	0	5.1672	0.6481	4.5354	34460.7	1	0.5	0.5	1
24	1	1	1	30	3	0.9	0	0	0	0.5	0	3.9234	3.1307	1.4529	687139.4	22	0.5	0.5	1
25	1	1	1	30	3	0.9	0	0	0	0.5	0	5.7863	0.3593	3.3553	39261.9	1	0.5	0.5	1
26	1	1	1	30	3	0.9	0	0	0	0.5	0	2.4565	1.0572	3.6844	38502.1	1	0.5	0.5	1
27	1	1	1	30	3	0.9	0	0	0	0.5	0	4.9997	5.2247	4.6948	3720514.9	8	0.5	0.5	1
28	1	1	1	30	3	0.9	0	0	0	0.5	0	4.4772	4.595	3.7046	34178.8	1	0.5	0.5	1
29	1	1	1	30	3	0.9	0	0	0	0.5	0	3.1947	0.0632	1.7375	2354105.1	15	0.5	0.5	1
30	1	1	1	30	3	0.9	0	0	0	0.5	0	0.3602	0.9204	1.9068	7006166.2	8	0.5	0.5	1
31	1	1	1	30	3	0.9	0	0	0	0.5	0	0.3375	5.2792	2.795	683331.7	29	0.5	0.5	1
32	1	1	1	30	3	0.9	0	0	0	0.5	0	3.083	0.7293	4.3353	2025968	21	0.5	0.5	1
33	1	1	1	30	3	0.9	0	0	0	0.5	0	5.5502	1.4896	2.1299	19884184.8	11	0.5	0.5	1
34	1	1	1	30	3	0.9	0	0	0	0.5	0	5.5498	1.5459	4.0863	120715.4	10	0.5	0.5	1
35	1	1	1	30	3	0.9	0	0	0	0.5	0	4.9885	3.8789	2.4702	169138.7	11	0.5	0.5	1
36	1	1	1	30	3	0.9	0	0	0	0.5	0	2.8557	1.8282	2.8298	142720.1	2	0.5	0.5	1
37	1	1	1	30	3	0.9	0	0	0	0.5	0	3.577	1.5379	4.6651	38945	1	0.5	0.5	1
38	1	1	1	30	3	0.9	0	0	0	0.5	0	2.7854	2.9304	2.0022	328198.2	3	0.5	0.5	1
39	1	1	1	30	3	0.9	0	0	0	0.5	0	4.3174	3.8941	3.5729	148411.3	4	0.5	0.5	1
40	1	1	1	30	3	0.9	0	0	0	0.5	0	1.7096	0.3886	3.0648	181068.8	10	0.5	0.5	1
41	1	1	1	30	3	0.9	0	0	0	0.5	0	3.608	5.0935	5.2247	34727.7	1	0.5	0.5	1
42	1	1	1	30	3	0.9	0	0	0	0.5	0	2.5334	5.0271	2.0535	38012.4	1	0.5	0.5	1
43	1	1	1	30	3	0.9	0	0	0	0.5	0	2.069	4.4819	1.3688	125725.6	8	0.5	0.5	1
44	1	1	1	30	3	0.9	0	0	0	0.5	0	1.1386	2.682	2.7137	39327.5	1	0.5	0.5	1
45	1	1	1	30	3	0.9	0	0	0	0.5	0	4.7561	3.5823	3.1699	594036.1	53	0.5	0.5	1
46	1	1	1	30	3	0.9	0	0	0	0.5	0	2.399	0.6832	3.1332	55215.7	2	0.5	0.5	1
47	1	1	1	30	3	0.9	0	0	0	0.5	0	4.2393	0.7874	0.5173	35348.1	1	0.5	0.5	1
48	1	1	1	30	3	0.9	0	0	0	0.5	0	5.5758	4.8638	5.5268	88323.6	3	0.5	0.5	1
49	1	1	1	30	3	0.9	0	0	0	0.5	0	2.8865	2.8847	3.1176	234415.3	14	0.5	0.5	1
50	1	1	1	30	3	0.9	0	0	0	0.5	0	0.2928	0.3565	4.896	218105	14	0.5	0.5	1
51	1	1	1	30	3	0.9	0	0	0	0.5	0	1.1626	3.9691	2.1444	6810281.3	11	0.5	0.5	1
52	1	1	1	30	3	0.9	0	0	0	0.5	0	5.2777	3.6595	3.1548	440523.6	17	0.5	0.5	1
53	1	1	1	30	3	0.9	0	0	0	0.5	0	0.8249	4.2312	1.3656	35279.5	1	0.5	0.5	1
54	1	1	1	30	3	0.9	0	0	0	0.5	0	2.8104	3.7103	3.7806	37416.4	1	0.5	0.5	1
55	1	1	1	30	3	0.9	0	0	0	0.5	0	0.7608	5.1635	2.9886	837926	34	0.5	0.5	1
56	1	1	1	30	3	0.9	0	0	0	0.5	0	1.1749	4.0239	2.124	633973.9	3	0.5	0.5	1
57	1	1	1	30	3	0.9	0	0	0	0.5	0	3.9166	5.6867	1.3037	212185	8	0.5	0.5	1
