sim_ind	M1	M2	M3	a_o	r_p_o	e_o	inc_o	Omega_o	omega_o	e_i	inc_i	Omega_i	omega_i	f_i	final_time	outer_orbits	outer_orbits_RW	disrupted
1	1	0.8	0.5	32.7243	3.2724	0.9	0	0	0	0.5	0.7232	4.4913	0.5698	3.9569	7396946.8	94	2.3	1
2	1	0.8	0.5	42.0002	4.2	0.9	0	0	0	0.5	2.2119	0.9091	4.1373	3.6104	82058191.6	921	3206.1	0
3	1	0.8	0.5	41.955	4.1955	0.9	0	0	0	0.5	1.8189	3.3331	3.8873	4.3742	429783704.6	1983	937.7	1
4	1	0.8	0.5	20.9127	2.0913	0.9	0	0	0	0.5	1.284	3.3499	4.1129	2.7133	64264.1	2	0.2	1
5	1	0.8	0.5	23.5868	2.3587	0.9	0	0	0	0.5	1.9482	2.7061	1.7514	5.614	565259.4	13	1.5	1
6	1	0.8	0.5	22.3339	2.2334	0.9	0	0	0	0.5	1.499	2.613	1.7304	0.4062	1744114.1	31	0.3	1
7	1	0.8	0.5	36.9624	3.6962	0.9	0	0	0	0.5	2.2695	5.5124	6.1215	1.4786	1261555917.3	449	337.2	1
8	1	0.8	0.5	30.4405	3.0441	0.9	0	0	0	0.5	0.6609	5.1159	3.3952	3.6282	41809.2	1	0.9	1
9	1	0.8	0.5	26.1796	2.618	0.9	0	0	0	0.5	2.8157	1.2571	0.8013	3.099	18905089.5	95	164.2	1
10	1	0.8	0.5	23.8332	2.3833	0.9	0	0	0	0.5	1.3825	0.0621	4.4238	4.1242	36309	1	0.4	1
11	1	0.8	0.5	44.6482	4.4648	0.9	0	0	0	0.5	2.4596	4.662	1.9257	5.3983	315527060.4	4157	71630.7	0
12	1	0.8	0.5	33.9202	3.392	0.9	0	0	0	0.5	2.8538	4.8042	1.253	0.3394	207829394.7	3536	2435.9	0
13	1	0.8	0.5	34.3078	3.4308	0.9	0	0	0	0.5	1.2739	2.2964	4.6188	4.9322	3658254.3	12	7.1	1
14	1	0.8	0.5	37.3742	3.7374	0.9	0	0	0	0.5	2.2715	0.6481	0.5419	4.5354	332292044.5	918	479.2	1
15	1	0.8	0.5	35.6108	3.5611	0.9	0	0	0	0.5	1.7458	5.7863	0.3593	3.1374	160548457.6	74	41.6	1
16	1	0.8	0.5	37.6304	3.763	0.9	0	0	0	0.5	0.8453	5.6575	4.9997	2.8716	19697123.8	246	27.6	1
17	1	0.8	0.5	40.7883	4.0788	0.9	0	0	0	0.5	2.0099	4.595	0.7323	3.7046	153325743.4	1938	1371.7	0
